Data;Valor
2011-03-31;0.43
2011-06-30;0.37
2011-09-30;0.14
2011-12-31;0.11
2012-03-31;0.51
2012-06-30;0.73
2012-09-30;0.22
2012-12-31;0.16
2013-03-31;0.5
2013-06-30;1.15
2013-09-30;0.43
2013-12-31;0.1
2014-03-31;0.28
2014-06-30;0.66
2014-09-30;0.15
2014-12-31;0.08
2015-03-31;0.62
2015-06-30;1.84
2015-09-30;0.22
2015-12-31;0.1
2016-03-31;0.64
2016-06-30;1.93
2016-09-30;0.33
2016-12-31;0.35
2017-03-31;0.16
2017-06-30;0.93
2017-09-30;0.06
2017-12-31;0.07
2018-03-31;0.24
2018-06-30;0.97
2018-09-30;0.23
2018-12-31;0.13
2019-03-31;0.31
2019-06-30;0.88
2019-09-30;0.46
2019-12-31;0.21
2020-03-31;0.26
2020-06-30;0.34
2020-09-30;1.16
2020-12-31;0.7
2021-03-31;1.3
2021-06-30;2.16
2021-09-30;0.51
2021-12-31;0.35
2022-03-31;0.86
2022-06-30;2.14
2022-09-30;0.09
2022-12-31;0.09
2023-03-31;0.3
2023-06-30;0.71
2023-09-30;0.34
2023-12-31;0.07
2024-03-31;0.28
