DATA;IPCA
2011-03-31;0.79
2011-06-30;0.15
2011-09-30;0.53
2011-12-31;0.5
2012-03-31;0.21
2012-06-30;0.08
2012-09-30;0.57
2012-12-31;0.79
2013-03-31;0.47
2013-06-30;0.26
2013-09-30;0.35
2013-12-31;0.92
2014-03-31;0.92
2014-06-30;0.4
2014-09-30;0.57
2014-12-31;0.78
2015-03-31;1.32
2015-06-30;0.79
2015-09-30;0.54
2015-12-31;0.96
2016-03-31;0.43
2016-06-30;0.35
2016-09-30;0.08
2016-12-31;0.3
2017-03-31;0.25
2017-06-30;-0.23
2017-09-30;0.16
2017-12-31;0.44
2018-03-31;0.09
2018-06-30;1.26
2018-09-30;0.48
2018-12-31;0.15
2019-03-31;0.75
2019-06-30;0.01
2019-09-30;-0.04
2019-12-31;1.15
2020-03-31;0.07
2020-06-30;0.26
2020-09-30;0.64
2020-12-31;1.35
2021-03-31;0.93
2021-06-30;0.53
2021-09-30;1.16
2021-12-31;0.73
2022-03-31;1.62
2022-06-30;0.67
2022-09-30;-0.29
2022-12-31;0.62
2023-03-31;0.71
2023-06-30;-0.08
2023-09-30;0.26
2023-12-31;0.56
2024-03-31;0.16
