;CD_CVM;CD_CONTA;ESCALA_MOEDA;DT_INI_EXERC;DT_FIM_EXERC;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
0;21490;3.01;MIL;2011-10-01;2011-12-31;Receita de Venda de Bens e/ou Serviços;598015.0;S
0;21490;3.02;MIL;2011-10-01;2011-12-31;Custo dos Bens e/ou Serviços Vendidos;-173975.0;S
0;21490;3.03;MIL;2011-10-01;2011-12-31;Resultado Bruto;424040.0;S
0;21490;3.04;MIL;2011-10-01;2011-12-31;Despesas/Receitas Operacionais;-67577.0;S
0;21490;3.05;MIL;2011-10-01;2011-12-31;Resultado Antes do Resultado Financeiro e dos Tributos;356463.0;S
0;21490;3.06;MIL;2011-10-01;2011-12-31;Resultado Financeiro;-110532.0;S
0;21490;3.07;MIL;2011-10-01;2011-12-31;Resultado Antes dos Tributos sobre o Lucro;245931.0;S
0;21490;3.08;MIL;2011-10-01;2011-12-31;Imposto de Renda e Contribuição Social sobre o Lucro;-56068.0;S
0;21490;3.09;MIL;2011-10-01;2011-12-31;Resultado Líquido das Operações Continuadas;189863.0;S
0;21490;3.10;MIL;2011-10-01;2011-12-31;Resultado Líquido de Operações Descontinuadas;0.0;S
0;21490;3.11;MIL;2011-10-01;2011-12-31;Lucro/Prejuízo Consolidado do Período;189863.0;S
0;21490;3.99;MIL;2011-10-01;2011-12-31;Lucro por Ação - (Reais / Ação);0.0;N
0;21490;3.01;MIL;2011-10-01;2011-12-31;Receita de Venda de Bens e/ou Serviços;598015.0;S
0;21490;3.02;MIL;2011-10-01;2011-12-31;Custo dos Bens e/ou Serviços Vendidos;-173975.0;S
0;21490;3.03;MIL;2011-10-01;2011-12-31;Resultado Bruto;424040.0;S
0;21490;3.04;MIL;2011-10-01;2011-12-31;Despesas/Receitas Operacionais;-67577.0;S
0;21490;3.05;MIL;2011-10-01;2011-12-31;Resultado Antes do Resultado Financeiro e dos Tributos;356463.0;S
0;21490;3.06;MIL;2011-10-01;2011-12-31;Resultado Financeiro;-110532.0;S
0;21490;3.07;MIL;2011-10-01;2011-12-31;Resultado Antes dos Tributos sobre o Lucro;245931.0;S
0;21490;3.08;MIL;2011-10-01;2011-12-31;Imposto de Renda e Contribuição Social sobre o Lucro;-56068.0;S
0;21490;3.09;MIL;2011-10-01;2011-12-31;Resultado Líquido das Operações Continuadas;189863.0;S
0;21490;3.10;MIL;2011-10-01;2011-12-31;Resultado Líquido de Operações Descontinuadas;0.0;S
0;21490;3.11;MIL;2011-10-01;2011-12-31;Lucro/Prejuízo Consolidado do Período;189863.0;S
0;21490;3.99;MIL;2011-10-01;2011-12-31;Lucro por Ação - (Reais / Ação);0.0;N
0;21490;3.01;MIL;2012-10-01;2012-12-31;Receita de Venda de Bens e/ou Serviços;330229.0;S
0;21490;3.02;MIL;2012-10-01;2012-12-31;Custo dos Bens e/ou Serviços Vendidos;-106799.0;S
0;21490;3.03;MIL;2012-10-01;2012-12-31;Resultado Bruto;223430.0;S
0;21490;3.04;MIL;2012-10-01;2012-12-31;Despesas/Receitas Operacionais;-10604.0;S
0;21490;3.05;MIL;2012-10-01;2012-12-31;Resultado Antes do Resultado Financeiro e dos Tributos;212826.0;S
0;21490;3.06;MIL;2012-10-01;2012-12-31;Resultado Financeiro;-54758.0;S
0;21490;3.07;MIL;2012-10-01;2012-12-31;Resultado Antes dos Tributos sobre o Lucro;158068.0;S
0;21490;3.08;MIL;2012-10-01;2012-12-31;Imposto de Renda e Contribuição Social sobre o Lucro;-21661.0;S
0;21490;3.09;MIL;2012-10-01;2012-12-31;Resultado Líquido das Operações Continuadas;136407.0;S
0;21490;3.10;MIL;2012-10-01;2012-12-31;Resultado Líquido de Operações Descontinuadas;0.0;S
0;21490;3.11;MIL;2012-10-01;2012-12-31;Lucro/Prejuízo Consolidado do Período;136407.0;S
0;21490;3.99;MIL;2012-10-01;2012-12-31;Lucro por Ação - (Reais / Ação);0.0;N
0;21490;3.01;MIL;2012-10-01;2012-12-31;Receita de Venda de Bens e/ou Serviços;330229.0;S
0;21490;3.02;MIL;2012-10-01;2012-12-31;Custo dos Bens e/ou Serviços Vendidos;-106799.0;S
0;21490;3.03;MIL;2012-10-01;2012-12-31;Resultado Bruto;223430.0;S
0;21490;3.04;MIL;2012-10-01;2012-12-31;Despesas/Receitas Operacionais;-10604.0;S
0;21490;3.05;MIL;2012-10-01;2012-12-31;Resultado Antes do Resultado Financeiro e dos Tributos;212826.0;S
0;21490;3.06;MIL;2012-10-01;2012-12-31;Resultado Financeiro;-54758.0;S
0;21490;3.07;MIL;2012-10-01;2012-12-31;Resultado Antes dos Tributos sobre o Lucro;158068.0;S
0;21490;3.08;MIL;2012-10-01;2012-12-31;Imposto de Renda e Contribuição Social sobre o Lucro;-21661.0;S
0;21490;3.09;MIL;2012-10-01;2012-12-31;Resultado Líquido das Operações Continuadas;136407.0;S
0;21490;3.10;MIL;2012-10-01;2012-12-31;Resultado Líquido de Operações Descontinuadas;0.0;S
0;21490;3.11;MIL;2012-10-01;2012-12-31;Lucro/Prejuízo Consolidado do Período;136407.0;S
0;21490;3.99;MIL;2012-10-01;2012-12-31;Lucro por Ação - (Reais / Ação);0.0;N
0;21490;3.01;MIL;2012-10-01;2012-12-31;Receita de Venda de Bens e/ou Serviços;330229.0;S
0;21490;3.02;MIL;2012-10-01;2012-12-31;Custo dos Bens e/ou Serviços Vendidos;-106799.0;S
0;21490;3.03;MIL;2012-10-01;2012-12-31;Resultado Bruto;223430.0;S
0;21490;3.04;MIL;2012-10-01;2012-12-31;Despesas/Receitas Operacionais;-10604.0;S
0;21490;3.05;MIL;2012-10-01;2012-12-31;Resultado Antes do Resultado Financeiro e dos Tributos;212826.0;S
0;21490;3.06;MIL;2012-10-01;2012-12-31;Resultado Financeiro;-54758.0;S
0;21490;3.07;MIL;2012-10-01;2012-12-31;Resultado Antes dos Tributos sobre o Lucro;158068.0;S
0;21490;3.08;MIL;2012-10-01;2012-12-31;Imposto de Renda e Contribuição Social sobre o Lucro;-21661.0;S
0;21490;3.09;MIL;2012-10-01;2012-12-31;Resultado Líquido das Operações Continuadas;136407.0;S
0;21490;3.10;MIL;2012-10-01;2012-12-31;Resultado Líquido de Operações Descontinuadas;0.0;S
0;21490;3.11;MIL;2012-10-01;2012-12-31;Lucro/Prejuízo Consolidado do Período;136407.0;S
0;21490;3.99;MIL;2012-10-01;2012-12-31;Lucro por Ação - (Reais / Ação);0.0;N
0;21490;3.01;MIL;2013-10-01;2013-12-31;Receita de Venda de Bens e/ou Serviços;348804.0;S
0;21490;3.02;MIL;2013-10-01;2013-12-31;Custo dos Bens e/ou Serviços Vendidos;-81897.0;S
0;21490;3.03;MIL;2013-10-01;2013-12-31;Resultado Bruto;266907.0;S
0;21490;3.04;MIL;2013-10-01;2013-12-31;Despesas/Receitas Operacionais;-26452.0;S
