DENOM_CIA;CD_CVM
CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437
COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451
VBC ENERGIA SA;14540
NET SERVIÇOS DE COMUNICAÇÃO S.A.;14621
FORPART S.A. - EM LIQUIDAÇÃO;14796
KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;15083
STATKRAFT ENERGIAS RENOVAVEIS S.A.;22594
LITEL PARTICIPACOES S.A.;15091
AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;20990
ENERGISA S.A.;15253
FERROVIA CENTRO-ATLANTICA S.A.;15369
COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO;15652
CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;21733
NEOENERGIA S.A.;15539
UNIVERSO ONLINE SA;19887
GAFISA S.A.;16101
521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;16330
BELAPART SA;16233
VALETRON SA;16225
TAM S.A.;16390
BRF S.A.;16292
AES ELPA S.A.;19313
CIA PARTICIPACOES ALIANCA DA BAHIA;18708
SUL 116 PARTICIPACOES S.A.;16438
EMPRESA NAC COM REDITO PART S.A.ENCORPAR;16497
VIRGO II COMPANHIA DE SECURITIZACAO;18287
TELEMAR PARTICIPAÇÕES SA;18678
PORTO SEGURO S.A.;16659
UPTICK PARTICIPACOES S.A.;16624
EDITORA ABRIL S/A;19143
DEXXOS PARTICIPAÇÕES S.A.;16632
INEPAR ENERGIA SA;16730
EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;16993
DALETH PARTICIPAÇÕES SA - EM LIQUIDAÇÃO;16950
TEGMA GESTAO LOGISTICA S.A.;20800
RET PARTICIPACOES S.A.;17337
ZAIN PARTICIPACOES S.A.;17361
PADTEC HOLDING S.A.;18414
RUMO S.A.;17450
LF TEL SA;17442
CPFL ENERGIA S.A.;18660
FUTURETEL S.A. - EM LIQUIDAÇÃO;17388
ENGIE BRASIL ENERGIA S.A.;17329
TELINVEST S.A.;17418
RUMO MALHA PAULISTA S.A.;17930
MAORI SA;17779
SOMOS EDUCAÇÃO S.A.;22551
VIVO PARTICIPAÇÕES SA;17710
TIM PARTICIPACOES S.A.;17639
EMBRATEL PARTICIPAÇÕES SA;17647
TELE NORTE LESTE PARTICIPAÇÕES SA;17655
TELE NORTE CELULAR PARTICIPAÇÕES SA;17604
TELEFÔNICA BRASIL S.A;17671
CAPITALPART PARTICIPACOES S.A.;17493
INNCORP S.A.;17558
NEWTEL PARTICIPACOES S.A.;17540
BRAZILIAN FINANCE E REAL ESTATE S.A.;17922
MMX MINERACAO E METALICOS S.A. - EM RECUPERAÇÃO JUDICIAL;17914
SANTOS BRASIL PARTICIPACOES S.A.;17892
COGNA EDUCAÇÃO S.A.;17973
COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV;18112
CCR S.A.;18821
T4F ENTRETENIMENTO S.A.;22454
VICUNHA SIDERURGIA SA;18902
JBS S.A.;20575
ARTERIS S.A.;19771
HYPERA S.A.;21431
PDG REALTY S.A. EMPREEND E PARTICIPACOES;20478
CEMIG TELECOMUNICAÇÕES S.A.;18716
AES TIETE SA;18350
CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;18376
TPI - TRIUNFO PARTICIP. E INVEST. S.A.;19330
EQUATORIAL ENERGIA S.A.;20010
LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;19879
BRZ INVESTIMENTOS S/A;21415
RB CAPITAL SECURITIZADORA S.A.;19860
PRIVATINVEST PARTICIPAÇÕES SA;18635
ANDRADE GUTIERREZ CONCESSOES S.A.;19437
ARAUCÁRIA PARTICIPAÇÕES SA;18651
INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;18775
BRADESPAR S.A.;18724
MARFRIG GLOBAL FOODS S.A.;20788
CPFL GERACAO DE ENERGIA S.A.;18953
EDP - ENERGIAS DO BRASIL S.A.;19763
COARI PARTICIPAÇÕES SA;19089
ANDRADE GUTIERREZ PARTICIPACOES S.A.;19062
ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;19100
AES TIETE ENERGIA SA;18970
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;19453
ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.;18961
ENEVA S.A;21237
LOCAMÉRICA RENT-A-CAR S.A.;21555
BIOMM S.A.;19305
METALFRIO SOLUTIONS S.A.;20613
GLOBAL BRASIL SA;19402
TARPON INVESTIMENTOS S.A.;21717
TELEFÓNICA, S.A.;80004
WILSON SONS LTD.;80047
TERRA SANTA AGRO S.A.;20354
ALLOS S.A.;22357
ALIANSCE SHOPPING CENTERS S.A.;21300
GOL LINHAS AEREAS INTELIGENTES S.A.;19569
TEMPO PARTICIPAÇOES S/A;19917
BR MALLS PARTICIPACOES S.A.;19909
BR PROPERTIES S.A.;19925
CEMIG GERACAO E TRANSMISSAO S.A.;20320
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;20338
ITAUSEG PARTICIPAÇÕES SA;19933
VICUNHA TEXTIL SA;5991
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036
EMBRAER S.A.;20087
BROOKFIELD INCORPORAÇÕES S.A.;20265
SPRINGS GLOBAL PARTICIPACOES S.A.;20966
AMPLA INVESTIMENTOS E SERVIÇOS S/A;20214
MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;20982
FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;20630
GP INVESTMENTS, LTD.;80020
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;20257
ONE PROPERTIES S.A.;20419
ÓLEO E GÁS PARTICIPAÇÕES S.A.;20168
TECNISA S.A.;20435
LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;20370
SAFRA COMPANHIA SECURITIZADORA DE CREDITOS IMOBILIARIOS;20400
JHSF PARTICIPACOES S.A.;20605
EZ TEC EMPREEND. E PARTICIPACOES S.A.;20770
MRV ENGENHARIA E PARTICIPACOES S.A.;20915
ALUPAR INVESTIMENTO S/A;21490
