DENOM_CIA;CD_CVM
VBC ENERGIA SA;14540
UNIVERSO ONLINE SA;19887
521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;16330
UPTICK PARTICIPACOES S.A.;16624
EDITORA ABRIL S/A;19143
INEPAR ENERGIA SA;16730
VIVO PARTICIPAÇÕES SA;17710
TELE NORTE LESTE PARTICIPAÇÕES SA;17655
BRZ INVESTIMENTOS S/A;21415
RB CAPITAL SECURITIZADORA S.A.;19860
PRIVATINVEST PARTICIPAÇÕES SA;18635
COARI PARTICIPAÇÕES SA;19089
TELEFÓNICA, S.A.;80004
ONE PROPERTIES S.A.;20419
SAFRA COMPANHIA SECURITIZADORA DE CREDITOS IMOBILIARIOS;20400
FAE ADM. E PARTICIPAÇÕES SA;21660
ÁQUILLA SECURITIZADORA S.A.;21512
MCM CIMENTOS S/A;22284
PERENCO PETRÓLEO E GÁS DO BRASIL PARTICIPAÇÕES S.A.;22527
ISOLUX INFRASTRUCTURE S.A.;22624
PRONOR PETROQUIMICA SA;9784
ELEKEIROZ S.A.;4359
VALE FERTILIZANTES S.A.;14028
CAFE SOLUVEL BRASILIA SA;2062
PREDILETO ALIMENTOS SA;14010
TELEMAR NORTE LESTE SA;11320
DIXIE TOGA SA;14931
BANCO CRUZEIRO DO SUL SA;20753
CAMARGO CORREA CIMENTOS SA;19631
CECRISA REVESTIMENTOS CERAMICOS SA;15610
YARA BRASIL FERTILIZANTES;140
CIA RIOGRANDENSE DE SANEAMENTO;16748
FORPART S.A. - EM LIQUIDAÇÃO;14796
VALETRON SA;16225
TAM S.A.;16390
RET PARTICIPACOES S.A.;17337
ZAIN PARTICIPACOES S.A.;17361
FUTURETEL S.A. - EM LIQUIDAÇÃO;17388
RUMO MALHA PAULISTA S.A.;17930
TELE NORTE CELULAR PARTICIPAÇÕES SA;17604
NEWTEL PARTICIPACOES S.A.;17540
VICUNHA SIDERURGIA SA;18902
CEMIG TELECOMUNICAÇÕES S.A.;18716
GLOBAL BRASIL SA;19402
ITAUSEG PARTICIPAÇÕES SA;19933
AMPLA INVESTIMENTOS E SERVIÇOS S/A;20214
REP REAL ESTATE PARTNERS DESENV IMOB SA;21539
AGRENCO LIMITED;80080
CENTENNIAL ASSET PARTICIPAÇÕES SUDESTE S/A;21776
SAAG INVESTIMENTOS S.A.;22756
STEIN SP II PARTICIPAÇÕES S.A.;22292
QGN PARTICIPAÇÕES SA;9857
ALFA HOLDINGS S.A.;9954
RUMO MALHA NORTE S.A.;15300
SERGEN SERVS GERAIS DE ENG SA;10596
USINA COSTA PINTO SA ACUC ALC;12220
BROOKFIELD SÃO PAULO EMPREENDIMENTOS IMOBILIÁRIOS S.A.;19046
CONFAB INDUSTRIAL SA;4650
CAMARGO CORREA DESENVOLVIMENTO IMOBILIARIO SA;20486
MARISOL SA;8486
NEUMARKT TRADE AND FINANCIAL CENTER S/A;14613
DALETH PARTICIPAÇÕES SA - EM LIQUIDAÇÃO;16950
LF TEL SA;17442
MAORI SA;17779
COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV;18112
VICUNHA TEXTIL SA;5991
LAEP INVESTMENTS LTD;80098
OMEGA ENERGIA RENOVÁVEL S/A;22110
AGV HOLDING S/A;21806
ISEC BRASIL SECURITIZADORA S/A;23337
FERTILIZANTES HERINGER S.A.;20621
AMIL PARTICIPAÇÕES S/A;21172
NET SERVIÇOS DE COMUNICAÇÃO S.A.;14621
EMBRATEL PARTICIPAÇÕES SA;17647
ARAUCÁRIA PARTICIPAÇÕES SA;18651
ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.;18961
ÓLEO E GÁS PARTICIPAÇÕES S.A.;20168
RJ CAPITAL PARTNERS S.A.;22330
INTERNATIONAL MEAL COMPANY HOLDINGS S/A;22438
BERNA PARTICIPAÇÕES SA;21563
BELMONTE PARTICIPAÇÕES SA;21580
METROPOLIS EMPREENDIMENTOS IMOBILIÁRIOS S/A;22047
BRAZAL BRASIL ALIMENTOS SA;21865
PASCRO PARTICIPAÇÕES S.A.;22209
BELEZA PARTICIPAÇÕES S.A.;22632
PACIFIC RUBIALES ENERGY CORP.;80144
JP PARTICIPAÇÕES S.A.;23299
INDÚSTRIA VEROLME S.A. - IVESA;12866
DOCAS INVESTIMENTOS SA;3182
M&G POLIÉSTER SA;14559
AUTOMETAL S.A.;22381
PARAMOUNT TEXTEIS INDUSTRIA E COMERCIO S/A;19798
CIA. IGUAÇU DE CAFÉ SOLÚVEL;3336
CIA CACIQUE CAFE SOLUVEL;2909
DHB IND E COMERCIO SA;5150
FERROVIA CENTRO-ATLANTICA S.A.;15369
COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO;15652
TELEMAR PARTICIPAÇÕES SA;18678
AES TIETE SA;18350
