Unnamed: 0;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;ESCALA_MOEDA;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
1;2011-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2011-01-01;2011-03-31;3.01;Receita de Venda de Bens e/ou Serviços;8551982.0;S
3;2011-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2011-01-01;2011-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-1127021.0;S
5;2011-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2011-01-01;2011-03-31;3.02.01;Encargos Setoriais;-398353.0;N
7;2011-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2011-01-01;2011-03-31;3.02.02;ICMS;-252475.0;N
9;2011-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2011-01-01;2011-03-31;3.02.03;PASEP/COFINS;-476193.0;N
11;2011-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2011-01-01;2011-03-31;3.03;Resultado Bruto;7424961.0;S
13;2011-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2011-01-01;2011-03-31;3.04;Despesas/Receitas Operacionais;-5281346.0;S
15;2011-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2011-01-01;2011-03-31;3.04.01;Despesas com Vendas;0.0;S
17;2011-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2011-01-01;2011-03-31;3.04.02;Despesas Gerais e Administrativas;-5745196.0;S
19;2011-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2011-01-01;2011-03-31;3.04.02.01;Pessoal, Material e Serviço;-1712648.0;N
21;2011-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2011-01-01;2011-03-31;3.04.02.02;Energia comprada para revenda;-932076.0;N
23;2011-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2011-01-01;2011-03-31;3.04.02.03;Combustível para produção de energia elétrica;-138683.0;N
25;2011-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2011-01-01;2011-03-31;3.04.02.04;Uso da rede elétrica;-340757.0;N
27;2011-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2011-01-01;2011-03-31;3.04.02.05;Remuneração de ressarcimento;-296130.0;N
