;CD_CVM;CD_CONTA;ESCALA_MOEDA;DT_INI_EXERC;DT_FIM_EXERC;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
0;18376;3.01;MIL;2011-01-01;2011-03-31;Receita de Venda de Bens e/ou Serviços;607039.0;S
11;18376;3.99;MIL;2011-01-01;2011-03-31;Lucro por Ação - (Reais / Ação);0.0;N
10;18376;3.11;MIL;2011-01-01;2011-03-31;Lucro/Prejuízo Consolidado do Período;205844.0;S
9;18376;3.10;MIL;2011-01-01;2011-03-31;Resultado Líquido de Operações Descontinuadas;65693.0;S
7;18376;3.08;MIL;2011-01-01;2011-03-31;Imposto de Renda e Contribuição Social sobre o Lucro;-66180.0;S
6;18376;3.07;MIL;2011-01-01;2011-03-31;Resultado Antes dos Tributos sobre o Lucro;206331.0;S
8;18376;3.09;MIL;2011-01-01;2011-03-31;Resultado Líquido das Operações Continuadas;140151.0;S
4;18376;3.05;MIL;2011-01-01;2011-03-31;Resultado Antes do Resultado Financeiro e dos Tributos;309296.0;S
3;18376;3.04;MIL;2011-01-01;2011-03-31;Despesas/Receitas Operacionais;-42006.0;S
2;18376;3.03;MIL;2011-01-01;2011-03-31;Resultado Bruto;351302.0;S
1;18376;3.02;MIL;2011-01-01;2011-03-31;Custo dos Bens e/ou Serviços Vendidos;-255737.0;S
5;18376;3.06;MIL;2011-01-01;2011-03-31;Resultado Financeiro;-102965.0;S
19;18376;3.08;MIL;2011-04-01;2011-06-30;Imposto de Renda e Contribuição Social sobre o Lucro;-43333.0;S
22;18376;3.11;MIL;2011-04-01;2011-06-30;Lucro/Prejuízo Consolidado do Período;200505.0;S
21;18376;3.10;MIL;2011-04-01;2011-06-30;Resultado Líquido de Operações Descontinuadas;0.0;S
20;18376;3.09;MIL;2011-04-01;2011-06-30;Resultado Líquido das Operações Continuadas;200505.0;S
18;18376;3.07;MIL;2011-04-01;2011-06-30;Resultado Antes dos Tributos sobre o Lucro;243838.0;S
23;18376;3.99;MIL;2011-04-01;2011-06-30;Lucro por Ação - (Reais / Ação);0.0;N
16;18376;3.05;MIL;2011-04-01;2011-06-30;Resultado Antes do Resultado Financeiro e dos Tributos;297587.0;S
15;18376;3.04;MIL;2011-04-01;2011-06-30;Despesas/Receitas Operacionais;-73029.0;S
14;18376;3.03;MIL;2011-04-01;2011-06-30;Resultado Bruto;370616.0;S
13;18376;3.02;MIL;2011-04-01;2011-06-30;Custo dos Bens e/ou Serviços Vendidos;-320119.0;S
12;18376;3.01;MIL;2011-04-01;2011-06-30;Receita de Venda de Bens e/ou Serviços;690735.0;S
17;18376;3.06;MIL;2011-04-01;2011-06-30;Resultado Financeiro;-53749.0;S
35;18376;3.99;MIL;2011-07-01;2011-09-30;Lucro por Ação - (Reais / Ação);0.0;N
34;18376;3.11;MIL;2011-07-01;2011-09-30;Lucro/Prejuízo Consolidado do Período;344863.0;S
33;18376;3.10;MIL;2011-07-01;2011-09-30;Resultado Líquido de Operações Descontinuadas;0.0;S
31;18376;3.08;MIL;2011-07-01;2011-09-30;Imposto de Renda e Contribuição Social sobre o Lucro;-143609.0;S
30;18376;3.07;MIL;2011-07-01;2011-09-30;Resultado Antes dos Tributos sobre o Lucro;488472.0;S
32;18376;3.09;MIL;2011-07-01;2011-09-30;Resultado Líquido das Operações Continuadas;344863.0;S
28;18376;3.05;MIL;2011-07-01;2011-09-30;Resultado Antes do Resultado Financeiro e dos Tributos;528994.0;S
27;18376;3.04;MIL;2011-07-01;2011-09-30;Despesas/Receitas Operacionais;-9625.0;S
26;18376;3.03;MIL;2011-07-01;2011-09-30;Resultado Bruto;538619.0;S
25;18376;3.02;MIL;2011-07-01;2011-09-30;Custo dos Bens e/ou Serviços Vendidos;-357914.0;S
24;18376;3.01;MIL;2011-07-01;2011-09-30;Receita de Venda de Bens e/ou Serviços;896533.0;S
29;18376;3.06;MIL;2011-07-01;2011-09-30;Resultado Financeiro;-40522.0;S
490;18376;3.11;MIL;2011-10-01;2011-12-31;Lucro/Prejuízo Consolidado do Período;164048.0;S
489;18376;3.10;MIL;2011-10-01;2011-12-31;Resultado Líquido de Operações Descontinuadas;-65693.0;S
488;18376;3.09;MIL;2011-10-01;2011-12-31;Resultado Líquido das Operações Continuadas;229741.0;S
