Data;Valor
1997-01-01;2.292,36
1997-02-01;2.538,12
1997-03-01;2.494,13
1997-04-01;2.718,07
1997-05-01;2.832,68
1997-06-01;3.355,30
1997-07-01;3.627,83
1997-08-01;2.975,76
1997-09-01;3.310,92
1997-10-01;2.541,08
1997-11-01;2.654,09
1997-12-01;2.787,79
1998-01-01;2.372,54
1998-02-01;2.553,73
1998-03-01;2.808,89
1998-04-01;2.827,64
1998-05-01;2.182,60
1998-06-01;1.980,42
1998-07-01;2.218,06
1998-08-01;1.371,71
1998-09-01;1.483,18
1998-10-01;1.534,59
1998-11-01;1.925,25
1998-12-01;1.544,10
1999-01-01;1.356,64
1999-02-01;1.493,25
1999-03-01;3.743,21
1999-04-01;2.746,36
1999-05-01;2.635,82
1999-06-01;2.690,18
1999-07-01;2.421,75
1999-08-01;2.326,94
1999-09-01;2.527,12
1999-10-01;2.642,53
1999-11-01;3.197,07
1999-12-01;3.591,08
2000-01-01;3.361,48
2000-02-01;3.690,19
2000-03-01;3.776,39
2000-04-01;3.380,29
2000-05-01;3.391,21
2000-06-01;3.921,22
2000-07-01;4.502,42
2000-08-01;4.606,02
2000-09-01;4.481,01
2000-10-01;4.201,66
2000-11-01;3.983,28
2000-12-01;4.133,35
2001-01-01;5.048,50
2001-02-01;5.058,33
2001-03-01;4.736,10
2001-04-01;4.450,83
2001-05-01;4.028,88
2001-06-01;4.419,46
2001-07-01;4.233,27
2001-08-01;4.249,64
2001-09-01;3.324,91
2001-10-01;3.773,57
2001-11-01;4.123,09
2001-12-01;4.375,79
2002-01-01;4.446,77
2002-02-01;4.624,87
2002-03-01;4.554,83
2002-04-01;4.423,77
2002-05-01;4.119,58
2002-06-01;3.778,81
2002-07-01;3.255,35
2002-08-01;3.406,27
2002-09-01;2.747,26
2002-10-01;2.925,91
2002-11-01;2.873,02
2002-12-01;3.174,93
2003-01-01;3.007,65
2003-02-01;2.623,42
2003-03-01;2.809,73
2003-04-01;3.385,60
2003-05-01;3.487,79
2003-06-01;3.259,48
2003-07-01;3.243,26
2003-08-01;3.743,89
2003-09-01;4.337,61
2003-10-01;4.756,05
2003-11-01;5.757,89
2003-12-01;6.579,27
2004-01-01;6.510,96
2004-02-01;5.802,42
2004-03-01;6.086,83
2004-04-01;5.556,17
2004-05-01;5.231,63
2004-06-01;5.685,15
2004-07-01;6.231,89
2004-08-01;6.148,34
2004-09-01;6.552,57
2004-10-01;6.462,84
2004-11-01;6.836,81
2004-12-01;6.950,94
2005-01-01;6.515,06
2005-02-01;7.423,92
2005-03-01;7.146,24
2005-04-01;7.387,33
2005-05-01;8.060,62
2005-06-01;7.878,97
2005-07-01;7.899,76
2005-08-01;8.112,83
2005-09-01;9.488,25
2005-10-01;9.281,90
2005-11-01;9.625,49
2005-12-01;9.930,19
2006-01-01;11.177,25
2006-02-01;12.577,95
2006-03-01;12.147,41
2006-04-01;12.392,22
2006-05-01;11.029,75
2006-06-01;11.268,62
2006-07-01;11.240,48
2006-08-01;11.865,77
2006-09-01;11.968,24
2006-10-01;12.442,95
2006-11-01;12.866,54
2006-12-01;13.985,46
2007-01-01;13.975,11
2007-02-01;13.761,64
2007-03-01;14.011,55
2007-04-01;15.546,60
2007-05-01;16.847,50
2007-06-01;17.756,28
2007-07-01;17.052,75
2007-08-01;16.843,85
2007-09-01;17.196,38
2007-10-01;17.897,86
2007-11-01;17.145,07
2007-12-01;17.305,63
2008-01-01;16.089,95
2008-02-01;17.467,50
2008-03-01;16.859,00
2008-04-01;18.024,52
2008-05-01;19.174,93
2008-06-01;19.166,32
2008-07-01;19.167,96
2008-08-01;17.483,20
2008-09-01;16.392,70
2008-10-01;14.375,72
2008-11-01;15.785,50
2008-12-01;15.291,33
2009-01-01;15.180,22
2009-02-01;16.164,01
2009-03-01;16.733,09
2009-04-01;18.847,68
2009-05-01;19.710,72
2009-06-01;20.438,25
2009-07-01;20.975,64
2009-08-01;21.351,79
2009-09-01;22.330,57
2009-10-01;22.086,96
2009-11-01;22.852,52
2009-12-01;24.327,08
2010-01-01;24.304,52
2010-02-01;24.437,80
2010-03-01;24.220,61
2010-04-01;24.233,19
2010-05-01;22.838,16
2010-06-01;24.080,73
2010-07-01;24.870,22
2010-08-01;25.738,70
2010-09-01;25.497,24
2010-10-01;26.473,24
2010-11-01;26.677,46
2010-12-01;27.242,57
2011-01-01;27.394,62
2011-02-01;28.124,74
2011-03-01;29.892,13
2011-04-01;29.581,66
2011-05-01;29.795,77
2011-06-01;30.073,77
2011-07-01;29.463,11
2011-08-01;28.195,12
2011-09-01;27.810,66
2011-10-01;28.857,80
2011-11-01;29.793,38
2011-12-01;32.613,71
2012-01-01;32.415,76
2012-02-01;34.328,25
2012-03-01;35.281,68
2012-04-01;35.826,64
2012-05-01;33.733,82
2012-06-01;35.416,28
2012-07-01;34.741,56
2012-08-01;32.805,89
2012-09-01;30.091,23
2012-10-01;28.716,33
2012-11-01;27.412,32
2012-12-01;28.792,84
2013-01-01;27.800,07
2013-02-01;27.487,21
2013-03-01;27.750,56
2013-04-01;28.241,68
2013-05-01;28.523,67
2013-06-01;25.407,33
2013-07-01;25.929,81
2013-08-01;25.316,75
2013-09-01;27.037,79
2013-10-01;27.821,26
2013-11-01;27.027,65
2013-12-01;26.250,84
2014-01-01;25.207,56
2014-02-01;23.057,55
2014-03-01;24.838,77
2014-04-01;25.845,08
2014-05-01;26.328,72
2014-06-01;28.133,81
2014-07-01;28.369,58
2014-08-01;31.171,18
2014-09-01;27.596,08
2014-10-01;26.451,47
2014-11-01;28.314,98
2014-12-01;27.161,26
2015-01-01;24.635,26
2015-02-01;26.521,88
2015-03-01;27.504,07
2015-04-01;29.453,36
