DATA;SELIC
1996-01-01;0.0
1996-02-01;0.0
1996-03-01;0.0
1996-04-01;0.0
1996-05-01;0.0
1996-06-01;23.28
1996-07-01;25.01
1996-08-01;25.4
1996-09-01;23.48
1996-10-01;25.27
1996-11-01;23.94
1996-12-01;21.73
1997-01-01;26.14
1997-02-01;24.11
1997-03-01;21.84
1997-04-01;21.91
1997-05-01;21.08
1997-06-01;19.04
1997-07-01;20.78
1997-08-01;19.81
1997-09-01;19.05
1997-10-01;45.9
1997-11-01;39.87
1997-12-01;37.47
1998-01-01;34.2
1998-02-01;34.2
1998-03-01;27.51
1998-04-01;23.16
1998-05-01;21.23
1998-06-01;20.45
1998-07-01;19.25
1998-08-01;19.25
1998-09-01;25.49
1998-10-01;42.12
1998-11-01;34.93
1998-12-01;29.21
1999-01-01;37.34
1999-02-01;37.34
1999-03-01;44.95
1999-04-01;39.42
1999-05-01;29.53
1999-06-01;21.92
1999-07-01;19.51
1999-08-01;19.51
1999-09-01;19.52
1999-10-01;18.87
1999-11-01;18.99
1999-12-01;19.0
2000-01-01;18.87
2000-02-01;18.88
2000-03-01;18.94
2000-04-01;18.55
2000-05-01;18.39
2000-06-01;17.35
2000-07-01;16.96
2000-08-01;16.54
2000-09-01;16.6
2000-10-01;16.56
2000-11-01;16.38
2000-12-01;15.76
2001-01-01;15.19
2001-02-01;15.2
2001-03-01;15.84
2001-04-01;16.3
2001-05-01;16.76
2001-06-01;18.31
2001-07-01;18.96
2001-08-01;19.04
2001-09-01;19.07
2001-10-01;19.05
2001-11-01;19.05
2001-12-01;19.05
2002-01-01;19.05
2002-02-01;18.8
2002-03-01;18.45
2002-04-01;18.35
2002-05-01;18.07
2002-06-01;18.4
2002-07-01;17.86
2002-08-01;17.87
2002-09-01;17.9
2002-10-01;20.9
2002-11-01;21.9
2002-12-01;24.9
2003-01-01;25.36
2003-02-01;26.3
2003-03-01;26.32
2003-04-01;26.32
2003-05-01;26.27
2003-06-01;25.74
2003-07-01;24.32
2003-08-01;21.84
2003-09-01;19.84
2003-10-01;18.84
2003-11-01;17.32
2003-12-01;16.32
2004-01-01;16.3
2004-02-01;16.28
2004-03-01;16.09
2004-04-01;15.8
2004-05-01;15.79
2004-06-01;15.79
2004-07-01;15.83
2004-08-01;15.9
2004-09-01;16.23
2004-10-01;16.74
2004-11-01;17.23
2004-12-01;17.74
2005-01-01;18.25
2005-02-01;18.75
2005-03-01;19.24
2005-04-01;19.51
2005-05-01;19.75
2005-06-01;19.73
2005-07-01;19.75
2005-08-01;19.74
2005-09-01;19.48
2005-10-01;18.98
2005-11-01;18.49
2005-12-01;18.0
2006-01-01;17.26
2006-02-01;17.26
2006-03-01;16.5
2006-04-01;15.7
2006-05-01;15.18
2006-06-01;15.18
2006-07-01;14.67
2006-08-01;14.17
2006-09-01;14.17
2006-10-01;13.67
2006-11-01;13.19
2006-12-01;13.19
2007-01-01;12.93
2007-02-01;12.93
2007-03-01;12.68
2007-04-01;12.43
2007-05-01;12.43
2007-06-01;11.93
2007-07-01;11.43
2007-08-01;11.43
2007-09-01;11.18
2007-10-01;11.18
2007-11-01;11.18
2007-12-01;11.18
2008-01-01;11.18
2008-02-01;11.18
2008-03-01;11.18
2008-04-01;11.63
2008-05-01;11.63
2008-06-01;12.17
2008-07-01;12.92
2008-08-01;12.92
2008-09-01;13.66
2008-10-01;13.65
2008-11-01;13.65
2008-12-01;13.66
2009-01-01;12.66
2009-02-01;12.66
2009-03-01;11.16
2009-04-01;10.16
2009-05-01;10.16
2009-06-01;9.16
2009-07-01;8.65
2009-08-01;8.65
2009-09-01;8.65
2009-10-01;8.65
2009-11-01;8.65
2009-12-01;8.65
2010-01-01;8.65
2010-02-01;8.65
2010-03-01;8.65
